Music is ON	音樂 開啟
Ah. Well, I expect you'll find the neighborhood quite challenging.	啊。嗯，我想你會覺得這個社區頗有挑戰。
Oh. Well, hopefully you'll still be around at rent time.	哦。嗯，希望你在交房租時還在。
Of course, that comes furnished with a disgusting old chair. Enjoy!	當然，那裡配備一張噁心的舊椅子。享受！
You'll be happy to know that we just put a fresh battery in the smoke detector.	你應該高興，我們剛剛在煙霧探測器裡放了新電池。
Just remember, the cockroaches are more frightened of you than you are of them.	記住，蟑螂比你更害怕你。
Thank you. See you soon.	謝謝。待會見。
Come back again soon.	很快再來。
I'm here for all of your renting needs.	我在這裡滿足你所有的租住需求。
Please tell all your rich friends about m... I mean us.	請把我……我是說我們介紹給你所有有錢朋友。
Thank You, but please don't call me at 4 in the morning again.	謝謝，但請別再凌晨 4 點打給我。
You do not have enough cash.	你沒有足夠的現金。
Sure, you can pay your rent next week.	好吧，你可以下週付房租。
Sorry, your rent must be paid now.	抱歉，你的房租現在必須付。
I already told you Yes!	我已經告訴你是了！
I'll say it again. NO!	我再說一遍。不！
WhaddoI look like? A bank?. Get outa here!	我看起來像什麼？銀行嗎？滾出去！
If I told you once, I've told you a thousand times. NO!!!!!	我要是說過一次，那就說過千次。不！！！！！
Click on that button one more time and I'll break your finger.	再點一次那個按鈕，我就掰斷你的手指。
You don't need an extension.	你不需要延期。
You already live at the low-cost housing.	你已經住在低成本住宅。
Your %d weeks of prepaid rent on your Security Apartment are non-refundable.\nAre you sure that you want to rent a Low Cost Apartment at this time?	你在安全公寓的 %d 週預付房租不可退款。\n你確定現在要租低成本公寓嗎？
OK. It was your decision.	好吧。那是你的決定。
Smart move, buddy.	聰明的選擇，老兄。
You already live at the security apartments.	你已經住在安全公寓。
Your %d weeks of prepaid rent on your Low Cost Apartment are non-refundable.\nAre you sure that you want to rent a Security Apartment at this time?	你在低成本公寓的 %d 週預付房租不可退款。\n你確定現在要租安全公寓嗎？
Please, pay your rent promptly from now on.	請從現在起及時付房租。
Welcome to Black's Market. Where quality and service are unherd of and you will stand in line forever.	歡迎來到布萊克超市。品質和服務聞所未聞，你會永遠排隊。
Welcome to Black's Market, where you can grow old in our checkout lines.	歡迎來到布萊克超市，你可以在我們的結帳隊伍中老去。
Welcome to Black's Market. Our meats are a cut above!	歡迎來到布萊克超市。我們的肉品出眾！
Welcome to Black's Market. You can't beat our eggs!	歡迎來到布萊克超市。我們的雞蛋無敵！
Welcome to Black's Market, where every day is Double Coupon Day!	歡迎來到布萊克超市，這裡每天都是雙倍折扣日！
Welcome to Black's Market. Look for our special on day-old sushi!	歡迎來到布萊克超市。看看我們的前一天壽司特價！
Welcome to Black's Market. Open all day and night for your binging pleasure!	歡迎來到布萊克超市。全天 24 小時營業供你盡情購物！
Welcome to Black's Market. Lowest prices in town on pickled octopus!	歡迎來到布萊克超市。城裡醃章魚最便宜！
Welcome to Black's Market. Hey, check out those melons!	歡迎來到布萊克超市。嘿，看看那些瓜！
Welcome to Black's Market. Our butcher loves to stop and chew the fat!	歡迎來到布萊克超市。我們的屠夫喜歡停下來東扯西談！
Welcome to Black's Market. Don't bypass our artichoke hearts!	歡迎來到布萊克超市。別略過我們的洋薊心！
Welcome to Black's Market. This time, please don't take home the shopping cart.	歡迎來到布萊克超市。這次請不要把購物車帶回家。
Welcome to Black's Market, the grosser grocer!	歡迎來到布萊克超市，更粗魯的雜貨店！
Welcome to Black's Market. Our Swiss Cheese is made from Hole Milk!	歡迎來到布萊克超市。我們的瑞士起司用起司孔牛奶做的！
Mr. Schwader to 6 for check approval...Mr. Schwader to 6 for check approval...	施瓦德先生到 6 號辦理支票核准……施瓦德先生到 6 號辦理支票核准……
Would you like fries with that? Oops, sorry, I usedta work at Monolith Burger.	要加薯條嗎？哎呀，抱歉，我之前在大石頭漢堡店工作。
Just so you know, we saw you eating those grapes in the produce section.	告訴你，我們看到你在農產品區吃葡萄。
Cookies, ice cream and soda? Any REAL food in that shopping cart?	餅乾、冰淇淋、汽水？你的購物車裡有真正的食物嗎？
If you wanna write a check, I need 8 forms of ID and a blood sample.	你要開支票的話，我需要 8 種身份證和一份血樣。
You had eleven items, not ten. Next time, use the right aisle.	你有 11 件商品，不是 10 件。下次用對的通道。
One of your eggs is broken. Better use it quickly.	你的一個雞蛋破了。最好快點用。
Price check, please...a 5-pound box of Quintuple-Stuff Sandwich Cookies!	請查價……五磅的五倍夾心三明治餅乾！
Have you tried the Deli Department's Cheezy Sweet 'n Saurkraut Salad?	你試過熟食區的起司甜酸菜沙拉嗎？
Thank You. See you next time	謝謝。下次見
Will that be paper or plastic?	要紙袋還是塑膠袋？
Have a Good day.	祝你有美好的一天。
We appreciate your business.	感謝你的光臨。
It's clear that you are a person who knows how to shop.	很清楚你是個懂得購物的人。
I'm happy to see that you're well today.	我很高興看到你今天氣色不錯。
Thank you for shopping at Black's Market.	感謝你在布萊克超市購物。
Next time, give peas a chance!	下次，給豌豆一個機會！
No tipping, please!	請不要小費！
Can we help you out to your marble?	我們能幫你搬東西去你的豪車嗎？
Come back for all your grocery needs!	回來滿足你所有的雜貨需求！
Say, two more trips and you'll have enough stamps!	嘿，再來兩次你就會有足夠的集點卡了！
Hope you didn't buy any of those recalled mushrooms last week!	希望你上週沒買那些召回的蘑菇！
Next time, don't dent the cans and expect a discount.	下次，別凹罐子還指望折扣。
Your selection of food indicates you're compensating for a lack of affection.	你的食物選擇表明你在補償缺乏感情。
Please be more careful with the mayonnaise in Aisle 7 next time.	請下次小心對待 7 號走道的美乃滋。
Arugla, Raddichio and Belgian Endive? What a yuppie!	芝麻菜、紅菊苣、比利時菊苣？真是雅皮！
I'm sorry we were out of those little corns this week.	抱歉我們本週那些小玉米售完了。
Would you like to be a checker? OK. YOU'RE A RED ONE.	你想當結帳員嗎？好。你就是紅色的。
Look in our Italian Pet Food section for Dog Ciao!	在我們的義大利寵物食品區找「狗聲」！
