Music is ON	音樂 開啟
Ah. Well, I expect you'll find the neighborhood quite challenging.	啊。嗯，我想你會覺得這個社區頗有挑戰。
Oh. Well, hopefully you'll still be around at rent time.	哦。嗯，希望你在交房租時還在。
Of course, that comes furnished with a disgusting old chair. Enjoy!	當然，那裡配備一張噁心的舊椅子。享受！
You'll be happy to know that we just put a fresh battery in the smoke detector.	你應該高興，我們剛剛在煙霧探測器裡放了新電池。
Just remember, the cockroaches are more frightened of you than you are of them.	記住，蟑螂比你更害怕你。
Thank you. See you soon.	謝謝。待會見。
Come back again soon.	很快再來。
I'm here for all of your renting needs.	我在這裡滿足你所有的租住需求。
Please tell all your rich friends about m... I mean us.	請把我……我是說我們介紹給你所有有錢朋友。
Thank You, but please don't call me at 4 in the morning again.	謝謝，但請別再凌晨 4 點打給我。
You do not have enough cash.	你沒有足夠的現金。
Sure, you can pay your rent next week.	好吧，你可以下週付房租。
Sorry, your rent must be paid now.	抱歉，你的房租現在必須付。
I already told you Yes!	我已經告訴你是了！
I'll say it again. NO!	我再說一遍。不！
WhaddoI look like? A bank?. Get outa here!	我看起來像什麼？銀行嗎？滾出去！
If I told you once, I've told you a thousand times. NO!!!!!	我要是說過一次，那就說過千次。不！！！！！
Click on that button one more time and I'll break your finger.	再點一次那個按鈕，我就掰斷你的手指。
You don't need an extension.	你不需要延期。
You already live at the low-cost housing.	你已經住在低成本住宅。
Your %d weeks of prepaid rent on your Security Apartment are non-refundable.\nAre you sure that you want to rent a Low Cost Apartment at this time?	你在安全公寓的 %d 週預付房租不可退款。\n你確定現在要租低成本公寓嗎？
OK. It was your decision.	好吧。那是你的決定。
Smart move, buddy.	聰明的選擇，老兄。
You already live at the security apartments.	你已經住在安全公寓。
Your %d weeks of prepaid rent on your Low Cost Apartment are non-refundable.\nAre you sure that you want to rent a Security Apartment at this time?	你在低成本公寓的 %d 週預付房租不可退款。\n你確定現在要租安全公寓嗎？
Please, pay your rent promptly from now on.	請從現在起及時付房租。
Welcome to Black's Market. Where quality and service are unherd of and you will stand in line forever.	歡迎來到布萊克超市。品質和服務聞所未聞，你會永遠排隊。
Welcome to Black's Market, where you can grow old in our checkout lines.	歡迎來到布萊克超市，你可以在我們的結帳隊伍中老去。
Welcome to Black's Market. Our meats are a cut above!	歡迎來到布萊克超市。我們的肉品出眾！
Welcome to Black's Market. You can't beat our eggs!	歡迎來到布萊克超市。我們的雞蛋無敵！
Welcome to Black's Market, where every day is Double Coupon Day!	歡迎來到布萊克超市，這裡每天都是雙倍折扣日！
Welcome to Black's Market. Look for our special on day-old sushi!	歡迎來到布萊克超市。看看我們的前一天壽司特價！
Welcome to Black's Market. Open all day and night for your binging pleasure!	歡迎來到布萊克超市。全天 24 小時營業供你盡情購物！
Welcome to Black's Market. Lowest prices in town on pickled octopus!	歡迎來到布萊克超市。城裡醃章魚最便宜！
Welcome to Black's Market. Hey, check out those melons!	歡迎來到布萊克超市。嘿，看看那些瓜！
Welcome to Black's Market. Our butcher loves to stop and chew the fat!	歡迎來到布萊克超市。我們的屠夫喜歡停下來東扯西談！
Welcome to Black's Market. Don't bypass our artichoke hearts!	歡迎來到布萊克超市。別略過我們的洋薊心！
Welcome to Black's Market. This time, please don't take home the shopping cart.	歡迎來到布萊克超市。這次請不要把購物車帶回家。
Welcome to Black's Market, the grosser grocer!	歡迎來到布萊克超市，更粗魯的雜貨店！
Welcome to Black's Market. Our Swiss Cheese is made from Hole Milk!	歡迎來到布萊克超市。我們的瑞士起司用起司孔牛奶做的！
Mr. Schwader to 6 for check approval...Mr. Schwader to 6 for check approval...	施瓦德先生到 6 號辦理支票核准……施瓦德先生到 6 號辦理支票核准……
Would you like fries with that? Oops, sorry, I usedta work at Monolith Burger.	要加薯條嗎？哎呀，抱歉，我之前在大石頭漢堡店工作。
Just so you know, we saw you eating those grapes in the produce section.	告訴你，我們看到你在農產品區吃葡萄。
Cookies, ice cream and soda? Any REAL food in that shopping cart?	餅乾、冰淇淋、汽水？你的購物車裡有真正的食物嗎？
If you wanna write a check, I need 8 forms of ID and a blood sample.	你要開支票的話，我需要 8 種身份證和一份血樣。
You had eleven items, not ten. Next time, use the right aisle.	你有 11 件商品，不是 10 件。下次用對的通道。
One of your eggs is broken. Better use it quickly.	你的一個雞蛋破了。最好快點用。
Price check, please...a 5-pound box of Quintuple-Stuff Sandwich Cookies!	請查價……五磅的五倍夾心三明治餅乾！
Have you tried the Deli Department's Cheezy Sweet 'n Saurkraut Salad?	你試過熟食區的起司甜酸菜沙拉嗎？
Thank You. See you next time	謝謝。下次見
Will that be paper or plastic?	要紙袋還是塑膠袋？
Have a Good day.	祝你有美好的一天。
We appreciate your business.	感謝你的光臨。
It's clear that you are a person who knows how to shop.	很清楚你是個懂得購物的人。
I'm happy to see that you're well today.	我很高興看到你今天氣色不錯。
Thank you for shopping at Black's Market.	感謝你在布萊克超市購物。
Next time, give peas a chance!	下次，給豌豆一個機會！
No tipping, please!	請不要小費！
Can we help you out to your marble?	我們能幫你搬東西去你的豪車嗎？
Come back for all your grocery needs!	回來滿足你所有的雜貨需求！
Say, two more trips and you'll have enough stamps!	嘿，再來兩次你就會有足夠的集點卡了！
Hope you didn't buy any of those recalled mushrooms last week!	希望你上週沒買那些召回的蘑菇！
Next time, don't dent the cans and expect a discount.	下次，別凹罐子還指望折扣。
Your selection of food indicates you're compensating for a lack of affection.	你的食物選擇表明你在補償缺乏感情。
Please be more careful with the mayonnaise in Aisle 7 next time.	請下次小心對待 7 號走道的美乃滋。
Arugla, Raddichio and Belgian Endive? What a yuppie!	芝麻菜、紅菊苣、比利時菊苣？真是雅皮！
I'm sorry we were out of those little corns this week.	抱歉我們本週那些小玉米售完了。
Would you like to be a checker? OK. YOU'RE A RED ONE.	你想當結帳員嗎？好。你就是紅色的。
Look in our Italian Pet Food section for Dog Ciao!	在我們的義大利寵物食品區找「狗聲」！
If you can find lower prices on groceries, you're playing a different game.	如果能找到更便宜的雜貨，你根本在玩不同的遊戲。
Check out our corn...you'll love to nibble our ears.	來看看我們的玉米……你會愛上咬著我們的玉米筒。
Our celery stalks at midnight.	我們的芹菜在午夜散步。
Meet our dairy department managers, Sam 'n Ella!	認識我們乳製品部的經理——山姆和艾拉！
No time to read the newspaper.	沒時間讀報紙。
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. We take very little interest in you.	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。我們對你沒什麼利息。
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. You'll always find yourself a loan here!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。你總能在這裡找到貸款！
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. No charge for deposits!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。存款不收費！
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. Tuesdays are Double Dollar Days!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。星期二是雙倍金錢日！
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. Have you gotten your free Toast Point Tongs?	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。你拿到免費的吐司夾了嗎？
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. Our fixed-rate CDs spin at 1500 RPM!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。我們的定利率光碟轉速達 1500 轉！
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. This little P.I.G.G.Y. plays the market!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。這隻小豬在市場上買賣！
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. Where we do Savings and Loans without a crisis!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。我們從不危機就進行儲蓄和貸款！
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. Our loan officers are real Yes-men!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。我們的貸款人員全是說好人！
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. Our San Andreas branch is in default!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。我們的聖安地列斯分行已違約！
Thank you for depositing on us.	感謝你的存款。
You do not have any cash to deposit.	你沒有現金存款。
There is always a penalty for early withdrawal.	提前提款總是有罰款的。
You do not have any savings.	你沒有存款。
Thank You for your payment.	感謝你的付款。
You don't have a loan.	你沒有貸款。
Sure, I can extend your loan for another $%d \nWould you like to do that?	當然，我可以再延長你 $%d 的貸款\n你要這樣做嗎？
Sure, you can have a loan for $%d \nWould you like to do that?	當然，你可以獲得 $%d 的貸款\n你要這樣做嗎？
Here is your %d, payable the 1st of each month.	這是你的 %d，每月 1 號應付。
Well then, come back and see us any time.	那麼，隨時回來看我們。
I'm terribly sorry, but you need more money or a better job in order to get an extension on your loan.	非常遺憾，你需要更多金錢或更好的工作才能延長貸款。
I'm terribly sorry, but you need more money or a better job in order to get a loan.	非常遺憾，你需要更多金錢或更好的工作才能獲得貸款。
No time is left to apply for a loan.	沒有時間申請貸款了。
No time is left to see the broker.	沒有時間見證券營業員了。
Welcome to the Factory. We will overwork you, under pay you, and expect you to take it with a smile.	歡迎來到工廠。我們會超負荷工作你、低薪支付你，並期望你笑著接受。
Welcome to the Factory. Where else can you have this much fun and get paid for it too.	歡迎來到工廠。還有哪裡能讓你有這麼多樂趣並還能拿薪水？
Welcome to the Factory. Where the work is hard, the pay is low, and the conditions are miserable.	歡迎來到工廠。工作辛苦、薪水低廉、條件糟糕的地方。
Welcome to the Factory. Thursday is Double Workman's Compensation Day!	歡迎來到工廠。星期四是雙倍工人補償日！
Welcome to the Factory. We pay Top Dollar for Blue Collar!	歡迎來到工廠。我們為藍領工作支付最高薪資！
Welcome to the Factory. No sweat...no paycheck!	歡迎來到工廠。不流汗……沒薪水！
Welcome to the Factory. Where money is our most important product.	歡迎來到工廠。金錢是我們最重要的產品。
Welcome to the Factory. Please wear your safety helmet during scheduled inspections.	歡迎來到工廠。定期檢查期間請穿戴安全頭盔。
Why are you asking for less money?	你為什麼要求更少的錢？
Why are you asking for the same wage?	你為什麼要求相同的薪資？
Congratulations. You have been given a raise.	恭喜。你已獲得加薪。
Sorry. We cannot grant your request at this time.	抱歉。我們目前無法同意你的要求。
Congratulations.  You got the job.	恭喜。你得到了工作。
Sorry. We're closing. You'll have to come back next week.	抱歉。我們關門了。你得下週回來。
Welcome to ACNE Employment. Why work for the best when you can work like the rest.	歡迎來到 ACNE 職業介紹所。為什麼要為最好的工作奮鬥，當你可以像其他人一樣平庸工作？
Welcome to ACNE Employment. We'll either find you a job, or we won't.	歡迎來到 ACNE 職業介紹所。我們要麼幫你找到工作，要麼不會。
Welcome to ACNE Employment, where your skills and our expertise add up to disappointment!	歡迎來到 ACNE 職業介紹所，你的技能和我們的專業加起來等於失望！
Welcome to ACNE Employment, where every lost job is a blemish on your resume!	歡迎來到 ACNE 職業介紹所，每一份失業都是你履歷上的污點！
Welcome to ACNE Employment. We'll get you a job no matter what it costs you!	歡迎來到 ACNE 職業介紹所。無論付出什麼代價，我們都會幫你找到工作！
Welcome to ACNE Employment, where your resume zits in our files!	歡迎來到 ACNE 職業介紹所，你的履歷痘痘在我們的檔案裡！
Welcome to ACNE Employment. No matter how bad your skills are, we have a job to match!	歡迎來到 ACNE 職業介紹所。無論你的技能有多糟，我們都有相應的工作！
Sorry. You didn't get the job for the following reasons:\n\n	抱歉。你沒有得到工作的原因如下：\n\n
%s  $%d Hr.	%s  $%d 元／小時。
%s $%d Hr.	%s $%d 元／小時。
Welcome to Hi-Tech U. We will learn you for the future.	歡迎來到高等技術大學。我們將為你的未來授課。
Welcome to Hi-Tech U. We'll learn you to talk English good!	歡迎來到高等技術大學。我們會教你好好講英文！
Welcome to Hi-Tech U. Our Geology classes will put rocks in your head!	歡迎來到高等技術大學。我們的地質課將把岩石放進你的腦袋！
Welcome to Hi-Tech U, where you'll never be bored of education!	歡迎來到高等技術大學，你永遠不會厭倦教育！
Welcome to Hi-Tech U. Enroll now for the third trimester!	歡迎來到高等技術大學。立即報名第三學期！
Welcome to Hi-Tech U. All our professors have tweed jackets with elbow patches!	歡迎來到高等技術大學。我們所有教授都穿著有肘部補丁的粗花呢外套！
Welcome to Hi-Tech U. Our diplomas are genuine cheepskin!	歡迎來到高等技術大學。我們的文憑是真正的羊皮紙！
Welcome to Hi-Tech U. Our alumni haven't complained yet!	歡迎來到高等技術大學。我們的校友還沒有抱怨！
Welcome to Hi-Tech U. Next semester is Double Credits Semester!	歡迎來到高等技術大學。下學期是雙學分學期！
Welcome to Hi-Tech U. When it comes to education, we will NOT be undersold!	歡迎來到高等技術大學。說到教育，我們不會被低估！
Welcome to Hi-Tech U. Already got your BA and MBA? We'll give you the third degree!	歡迎來到高等技術大學。已經有學士和碩士學位了？我們給你第三學位！
Welcome to Hi-Tech U. No matriculating in the dormitories, please!	歡迎來到高等技術大學。請不要在宿舍裡入學！
Welcome to Hi-Tech U. Enroll now for our fifth quarter!	歡迎來到高等技術大學。立即報名我們的第五季度！
Welcome to Hi-Tech U. You come in with a skull full of mush and you leave thinking like a shyster.	歡迎來到高等技術大學。你進來時腦子一團漿糊，離開時就會像一個騙子一樣思考。
Welcome to Hi-Tech U. Draw Kenny and YOU could win an art scholarship!	歡迎來到高等技術大學。畫肯尼，你就可能贏得藝術獎學金！
Welcome to Hi-Tech U. Check out our Job Displacement Service!	歡迎來到高等技術大學。看看我們的工作轉換服務！
Welcome to Hi-Tech U. Need financial assistance? What do we look like, a bank?	歡迎來到高等技術大學。需要財務協助？我們看起來像銀行嗎？
Welcome to Hi-Tech U, where one good term deserves another!	歡迎來到高等技術大學，一個好學期值得另一個好學期！
Welcome to Hi-Tech U. The CIA recruitment center's right here on campus!	歡迎來到高等技術大學。中情局招募中心就在校園裡！
Welcome to Hi-Tech U. Meet Ed Fiz, our Phys Ed instructor!	歡迎來到高等技術大學。認識艾德．菲茲，我們的體育教師！
Welcome to Hi-Tech U. CPA degrees or 65% x 1.2146/5ths of your money back!	歡迎來到高等技術大學。會計師學位或退回你 65% x 1.2146/5ths 的金錢！
Welcome to Hi-Tech U. Where our campus ROTC stands for Really Obnoxious Teenage Civilians!	歡迎來到高等技術大學。我們校園的後備軍官訓練代表真正討厭的少年平民！
No time is left to go to class.	沒有時間去上課了。
You need to enroll in a class first.	你需要先報名上課。
Perhaps next year we will have more classes to offer to you.	也許明年我們會有更多課程提供給你。
Your enrollment fee of $%d has been accepted.	你的 $%d 報名費已被接受。
The enrollment fee is $%d. Would you like to enroll?	報名費是 $%d。你想報名嗎？
Thank You. You may select the class of your choice.	感謝你。你可以選擇你想要的課程。
Perhaps at another time.	也許改日。
Welcome to Socket City. If you paid full price, you must've bought it here!	歡迎來到多插座城市。如果你付了全價，肯定是在這裡買的！
Welcome to Socket City. You're just in time for our Pre-Arbor Day Value Fest!	歡迎來到多插座城市。你正好趕上我們的仲夏節前夕超值節慶！
Welcome to Socket City. Apply for our Revolving Algorithmic Usury Credit Line!	歡迎來到多插座城市。申請我們的循環演算法高利信用額度！
Welcome to Socket City. Our salespeople are here to help you...spend!	歡迎來到多插座城市。我們的銷售人員在這裡幫你……花錢！
Welcome to Socket City. Special today on useless Yuppie electronic gadgets!	歡迎來到多插座城市。今天特賣無用的雅痞電子小物件！
Welcome to Socket City. We only charge 10% over list price!	歡迎來到多插座城市。我們只收取標價 10% 以上的費用！
Welcome to Socket City. Go ahead and TRY to talk us down.	歡迎來到多插座城市。盡管試著跟我們砍價。
Welcome to Socket City. Next Friday is Double Commission Day!	歡迎來到多插座城市。下週五是雙倍佣金日！
Welcome to Socket City. Come to our Moonlight Madness sale. 20% off if you wear your pajamas!	歡迎來到多插座城市。來參加我們的月光瘋狂大促銷。穿睡衣打 8 折！
Welcome to Socket City. Values direct from the factory to the jobber to the wholesaler to us to YOU!	歡迎來到多插座城市。商品直接從工廠、經銷商、批發商到我們再到你！
Welcome to Socket City, Home of High Pressure Sales!	歡迎來到多插座城市，高壓銷售之家！
Welcome to Socket City, where Quality meets its match!	歡迎來到多插座城市，品質遇到了對手！
Welcome to Socket City, where you get less for more!	歡迎來到多插座城市，花更多錢買更少東西！
Welcome to Socket City, where our Service Department never sleeps, eats or bathes!	歡迎來到多插座城市，我們的服務部門不睡覺、不吃飯、不洗澡！
Welcome to Socket City, where the customer is always ripe!	歡迎來到多插座城市，顧客總是成熟的！
Welcome to Socket City. Where everything quits working the day after the warranty expires.	歡迎來到多插座城市電器行。保固期過後一天所有東西就壞掉的地方。
Thank You very much.	非常感謝你。
I'm sure that you will be very happy with your purchase.	我相信你會對購買的東西非常滿意。
Thanks. You will have many years of trouble free service.	謝謝。你將享受多年無故障的服務。
Thank you for visiting Socket City.	感謝你蒞臨多插座城市電器行。
You sure know a deal when you see one.	你真的很懂得識貨。
Come and see us again, anytime.	隨時再來看我們。
Thank You. Let me know how you enjoy it.	感謝。告訴我你有多享受它。
Perhaps I can interest you in something else.	也許我可以推薦你別的東西？
Have you seen our vacuum cleaners? They really suck!	你有看過我們的吸塵器嗎？吸力真的超強！
Would you like the $200 Extended Service Contract with that?	要不要加上 $200 的延長保固契約？
You'll want the $150 Factory Extension Warranty with that, right?	你想要 $150 的原廠延長保修吧？
Can we interest you in the $300 1-Year Lifetime Replacement Guarantee?	要不要加上 $300 的一年終身替換保證？
How about a $250 Extended Factory Service Warranty Replacement Guarantee Contract Agreement Deal with that?	要不要再加 $250 的延長原廠服務保修替換保證契約協議？
If you ever require service, you know where to go!	如果你需要服務，你知道該找誰！
Of course, for another $75, you could have gotten the next model up.	當然，只要再付 $75，你就能買到更新的型號。
Our free installation is only $45 today!	我們今天的免費安裝只要 $45！
Sorry, we only had a floor sample left, but trust me, it's in perfect condition.	抱歉，我們只剩展示品，但相信我，它狀況完美。
Remember, we offer free delivery anywhere within the game!	記住，我們提供遊戲內任何地方的免費配送！
Do you smell something burning? Oh, it's that cash in your pocket!	你聞到什麼燒焦的味道嗎？喔，那是你口袋裡的現金在燒！
Now that didn't hurt a bit, did it?	這一點都不傷身，對吧？
Notice how we ignore anybody who's browsing the under-$200 items?	注意我們怎樣對待瀏覽 $200 以下商品的人？
Since you're spending, how about replacing your car stereo with an $800 Kerplunkett?	既然你在花錢，要不要用 $800 的 Kerplunkett 汽車音響？
Should we call the paramedics to treat your wallet for shock?	我們需要叫救護車搶救你的錢包嗎？
Care to go double-or-nothing for that 92 inch Projection TV?	要不要賭雙倍或全輸來買那台 92 吋投影電視？
Now, if I can steer you towards some of our higher-margin products...	現在，如果我能引導你買一些我們利潤較高的產品…
Didn't you have your eye on that complete Home Videotape Production Studio?	你不是一直看著那套完整的家庭錄影製作室嗎？
If you're not completely satisfied, we'll be glad to give you partial credit.	如果你不完全滿意，我們很樂意給你部分折抵。
We're members of the Bait 'n Switch(TM) Retailer's Association!	我們是「誘餌欺詐」零售商協會的成員！
We finance 90 Days, Same as Bankruptcy!	我們提供 90 天分期付款，跟破產一樣！
With every purchase over $5200, we're giving away free Chapter 11 Auto-Filers!	購買超過 $5200，我們送免費破產第 11 章自動申請表！
Please be aware that our Extended Service Contract excludes parts and labor.	請注意我們的延長服務契約不包括零件和工資。
Welcome to QT Clothing. We will sell you anything, no matter how bad it looks.	歡迎來到 Q.T 服飾店。我們什麼都賣，不管看起來多難看。
Welcome to QT Clothing. Meet our tailor, Howie Fitzhugh!	歡迎來到 Q.T 服飾店。介紹我們的裁縫 Howie Fitzhugh！
Welcome to QT Clothing. Our ties don't bind and our belts are a cinch.	歡迎來到 Q.T 服飾店。我們的領帶不綁、腰帶很舒服。
Welcome to QT Clothing. We have legal briefs and law suits.	歡迎來到 Q.T 服飾店。我們有法律簡述和訴訟套裝。
Welcome to QT Clothing, open 24 hours...we never clothes!	歡迎來到 Q.T 服飾店，24 小時營業…我們從不打烊！
Welcome to QT Clothing. Thursday is Double Shoulder Pad Day!	歡迎來到 Q.T 服飾店。星期四是雙倍肩墊日！
Welcome to QT Clothing. Wear our clothes and you'll be a QT, too!	歡迎來到 Q.T 服飾店。穿上我們的衣服，你也會變成 Q.T！
Welcome to QT Clothing. The only place in the world where you can buy just 1 pant!	歡迎來到 Q.T 服飾店。世界上唯一可以只買 1 件褲子的地方！
Welcome to QT Clothing. Try on our soothing new Medicated Tux!	歡迎來到 Q.T 服飾店。試試我們舒緩的新醫療燕尾服！
My! Don't WE look nice today!	哇！我們今天看起來真漂亮！
It's the real you.	這才是真正的你。
Spiffy.	精美。
Faaabulous!!!	太棒了！！！
Our clothes are of the highest quality.	我們的衣服品質最高。
Have a wonderful day!	祝你有美好的一天！
Lookin' good!	看起來不錯！
You can't go wong at QT.	在 Q.T 不會出錯。
Perhaps you should stock up now while the prices are so reasonable.	也許你應該趁價格這麼合理時囤貨。
With your figure, perhaps you should consider going to a tent maker.	以你的身材，也許你應該考慮去帳篷店。
Oooh, you look good enough to eat!	唔，你看起來好吃到不行！
Don't you just love the new spring fashions? Tres magnifique!	你不喜歡新春裝嗎？非常優雅！
It's nice like that, just a tad tight around the bottom.	很不錯，就是下面稍微有點緊。
Good choice...rayon is back in this year!	好選擇…人造絲今年又流行了！
Now what are you going to do about your HAIR?	現在你要怎樣對付你的頭髮？
Don't forget to accessorize!	別忘了搭配配飾！
Nice! It really accentuates those pectorals.	不錯！真的突顯那些胸肌。
You know, a little tummy tuck would take care of that slight pucker in back.	你知道，小腹部整形就能解決後面那點皺紋。
Stop slouching and it won't crease across the torso.	停止駝背，就不會在軀幹上起褶。
With a physique like yours, you could wear ANYthing!	以你的身材，你可以穿任何東西！
Let me mention just two little words. Lipo. Suction.	讓我只說兩個小詞。抽脂。吸管。
Welcome to Monolith Burger. Our Assistant Manager knows the Heimlich Manuever!	歡迎來到大石頭漢堡店。我們的副經理懂海姆立克急救法！
Welcome to Monolith Burger. Next week, come meet Monny the Burger Clown!	歡迎來到大石頭漢堡店。下週來見我們的漢堡小丑 Monny！
Welcome to Monolith Burger. You just missed Monny the Burger Clown!	歡迎來到大石頭漢堡店。你剛好錯過漢堡小丑 Monny！
Welcome to Monolith Burger. Buy 'em by the bushel!	歡迎來到大石頭漢堡店。一大堆買吧！
Welcome to Monolith Burger. Our food is untouched by human hands, only by teenagers.	歡迎來到大石頭漢堡店。我們的食物沒被人類的手碰過，只被少年碰過。
Welcome to Monolith Burger. Cleanest restrooms in the game!	歡迎來到大石頭漢堡店。遊戲裡最乾淨的廁所！
Welcome to Monolith Burger. Free bibs with every order of Lobster Nuggets!	歡迎來到大石頭漢堡店。每份龍蝦塊都送免費圍兜！
Welcome to Monolith Burger. Try a box of Chocolate-Like(R) Cookie Shards!	歡迎來到大石頭漢堡店。試試一盒巧克力風味® 餅乾碎片！
Welcome to Monolith Burger. Have you played our Guess the Chicken Part Game?	歡迎來到大石頭漢堡店。你玩過我們的「猜雞肉部位」遊戲嗎？
Welcome to Monolith Burger. Special orders will take an extra 45 minutes.	歡迎來到大石頭漢堡店。特別訂單需要額外 45 分鐘。
Welcome to Monolith Burger. Our soup today is Cream of Taco.	歡迎來到大石頭漢堡店。今天的湯是玉米餅奶油湯。
Welcome to Monolith Burgers. Home of the Toemain Express and the Stomach Pump special.	歡迎來到大石頭漢堡店。腳趾明快特餐和胃泵特餐的家鄉。
Welcome to Monolith Burgers, where we use only 100% Pure Extruded Beeflike Product!	歡迎來到大石頭漢堡店，我們只用 100% 純擠出式牛肉類產品！
Welcome to Monolith Burgers, where even the wrappers have wrappers!	歡迎來到大石頭漢堡店，連包裝紙都有包裝！
Welcome to Monolith Burgers, where our Food(TM) is patented!	歡迎來到大石頭漢堡店，我們的食物® 是專利產品！
Welcome to Monolith Burgers. Our buns are the softest!	歡迎來到大石頭漢堡店。我們的麵包最柔軟！
Welcome to Monolith Burgers, where our fat is always freshly rendered!	歡迎來到大石頭漢堡店，我們的油脂總是新鮮熬製！
Welcome to Monolith Burgers, where quality eats are in the bag!	歡迎來到大石頭漢堡店，優質美食就在袋子裡！
Welcome to Monolith Burgers, where our drinks have twice the ice!	歡迎來到大石頭漢堡店，我們的飲料有兩倍的冰！
Welcome to Monolith Burgers, where our burgers come from contented cows!	歡迎來到大石頭漢堡店，我們的漢堡來自滿足的牛！
Will that be all?	就這些嗎？
Would you like fries with that?	要加薯條嗎？
Something else with that?	還要別的嗎？
Take some home for your family too.	帶一些回家給你的家人。
Have a nice day.	祝你愉快。
Sounds delicious.	聽起來很好吃。
Will that be cash or charge? Tee hee.	要付現還是刷卡？呵呵。
Well, aren't WE happy today.	嗯，我們今天真開心呀。
Would you like some Thousand Isla...I mean, Secret Sauce, with that?	要加千島…我是說秘製醬汁嗎？
Does your Mother know you're eating here?	你媽知道你在這裡吃飯嗎？
Incidentally, we also sell used hairnets.	順便說一下，我們也賣二手髮網。
Our pure beef burgers have half the soybeans of the other leading brands!	我們的純牛肉漢堡的大豆含量只有其他品牌的一半！
Would you like some deep-fried potatoes and deep-fried pie with your deep-fried sandwich?	要加炸薯條和炸派來配你的炸三明治嗎？
